objid,ra,dec,petroMag_i,petroMag_z,petroMag_u,petroMag_g,petroMag_r,ur,p_cs,p_el
1237648720718725742,236.840630818495,-0.426538795640894,17.59415,17.068,21.76663,19.67528,18.20002,3.566612,0,0.833000004291534
1237648720718856443,237.033790069324,-0.440628229993035,16.46525,16.11864,19.5702,17.88969,16.91958,2.650625,0.0890000015497208,0.869000017642975
1237655693557367293,237.059814015185,-0.548849908673538,17.48497,17.24839,19.43561,18.28917,17.81202,1.623598,0.547999978065491,0.386999994516373
1237655693557432567,237.105860663841,-0.58595904564599,16.91773,16.58313,19.68458,18.16267,17.35085,2.333729,0.19200000166893,0.691999971866608
1237655693557367411,237.072831844002,-0.491296533640242,18.20408,17.88214,21.20979,20.59824,18.79922,2.410568,0.0689999982714653,0.723999977111816
1237655693557433442,237.210334200122,-0.539430127849799,19.47911,18.89311,22.76414,21.55545,20.03061,2.733528,0.0329999998211861,0.633000016212463
1237655693557498269,237.287646897119,-0.544287119944792,17.36781,17.00506,19.54834,18.52641,17.79108,1.757256,0.527999997138977,0.41499999165535
1237655693557498054,237.304304511976,-0.482160769682417,16.88271,16.94985,19.32296,17.73282,17.23983,2.083132,0.962999999523163,0.0370000004768372
1237655693557498383,237.349887309986,-0.602754508300265,17.03174,16.77827,19.15372,17.95638,17.33292,1.820797,0.555999994277954,0.407000005245209
1237648720718987629,237.35374302143,-0.457774284822742,17.10005,16.66169,20.44125,18.60119,17.49885,2.942404,0.137999996542931,0.792999982833862
1237655693557498120,237.360202983046,-0.539850625295723,18.9714,18.72266,24.37445,21.82092,19.95857,4.415882,0,0.620999991893768
